"Variable","Estimate","SE","Statistic","p_value"
"(Intercept)",7.83286162871575,3.38115071515291,2.31662599174066,0.0205241142390529
"Migraene",0.897821442947647,0.451161802556112,1.99002095891303,0.0465886267607213
"Uebelkeit_Medikament",-1.02967695444706,0.59122890494702,-1.74158764199684,0.0815806253233917
"Uebelkeit_Auto",-2.8638598625946,1.49432461122602,-1.91649112989241,0.0553026111740459
"emetog_pot_max",-0.638307559380729,0.342204195193482,-1.8652826831063,0.0621417911413128
